"","x"
"1",8.31896938761941
"2",8.74486890461237
"3",8.27623197870816
"4",8.35104252054785
"5",9.11369272402435
"6",9.30211522348906
"7",8.40356227977727
"8",9.06576080364522
"9",8.45745296327343
"10",8.58865878657134
"11",8.56878007207032
"12",8.32366529748535
"13",8.48588070906171
"14",8.44263426746855
"15",8.63226327642682
"16",10.3880313637332
"17",8.7577425538256
"18",9.06926580872483
"19",9.04236800319812
"20",8.41950351465108
"21",8.53629566984152
"22",9.09570877646859
"23",8.39870031220224
"24",8.49664613665563
"25",8.33587457036163
"26",8.64679353427665
"27",8.48228319711627
"28",8.58038433585204
"29",8.5810926458109
"30",9.6168356596889
"31",8.28062907055818
"32",8.4974917008731
"33",8.44084487917523
"34",8.40039784368666
"35",8.82671865242078
"36",8.63343214106713
"37",8.40313245658295
"38",8.49322442052842
"39",8.35875388298508
"40",8.45158702799243
"41",8.49968441169474
"42",8.30830258045736
"43",8.71702869884971
"44",8.38654382046481
"45",8.79647692505642
"46",8.31664877652431
"47",8.33541185124932
"48",8.40691716448236
"49",8.22223329870343
"50",8.38397146916192
"51",9.06606304664987
"52",8.39646665885368
"53",8.54586325785265
"54",9.42936575806037
"55",8.3989133526025
"56",8.49472801572107
"57",9.16683043844141
"58",8.57793485899345
"59",8.29686445186788
"60",8.56206931012654
"61",8.36440283192069
"62",8.44272651847738
"63",8.74944081649074
"64",8.57963538954321
"65",8.3720305216975
"66",8.71580482613649
"67",8.3643948809942
"68",8.61388889466135
"69",8.30646451371917
"70",9.20043811227161
"71",8.29452742864998
"72",8.74002416693545
"73",8.33874484076703
"74",9.01011369995737
"75",8.92691327544032
"76",8.3191214341834
"77",8.33587951214203
"78",8.30913159037986
"79",8.31989788789371
"80",9.18156783505852
"81",8.62217341489691
"82",8.35610372402735
"83",8.30067520759972
"84",8.29518821383801
"85",8.37715555990526
"86",8.4810885823312
"87",8.32051537913934
"88",8.37489484844225
"89",8.821382522975
"90",8.52104372770235
"91",8.4572450992022
"92",8.28667223495204
"93",8.7267567697871
"94",8.38984080016324
"95",8.38778514945973
"96",8.91648882906194
"97",8.43798843887804
"98",9.49616362491986
"99",8.57706194281868
"100",8.69725320875807
"101",8.31088029856697
"102",8.66798988687323
"103",8.4925788185063
"104",8.56932636281524
"105",9.23747013021078
"106",9.56774848986575
"107",8.3773466375831
"108",8.36776638363148
"109",8.38321029852127
"110",8.38058337349235
"111",8.62585703376872
"112",8.53943840974023
