"","x"
"1",4.96386605934065
"2",5.38254791601412
"3",6.52203646363939
"4",4.82842413588607
"5",2.48739193926822
"6",6.23686808679864
"7",7.14902113996699
"8",5.75004054480523
"9",5.89934308489271
"10",6.61091116151537
"11",4.91894792030338
"12",8.67646185892633
"13",3.02703382316481
"14",4.28917422408356
"15",6.44111112308273
"16",5.98947160130055
"17",7.92395468541886
"18",8.86323821970391
"19",8.50246670270799
"20",5.98067553094269
"21",7.60947053538496
"22",7.64144074341747
"23",6.28943871764373
"24",7.5219991077502
"25",5.60942341454631
"26",6.31475757378918
"27",6.7356638254726
"28",5.6442540506653
"29",6.57066473654979
"30",6.22142435510583
"31",2.55383625321878
"32",7.10697039729229
"33",8.93197149050885
"34",5.13063466385739
"35",4.69186134543419
"36",7.55366274246341
"37",5.95774282290682
"38",7.39253138300782
"39",6.2282626135479
"40",5.47986295991642
"41",5.60463110634377
"42",5.35618083506289
"43",9.27589235768852
"44",9.58622955563371
"45",4.03677026025039
"46",5.88297843331449
"47",6.94120220407912
"48",5.27272096431819
"49",5.74372317132766
"50",7.3034735741434
"51",7.17210402277428
"52",5.45996723655995
"53",7.35606186405314
"54",5.1998591301517
"55",5.60047222130524
"56",8.86647425301023
"57",5.32283222691814
"58",5.44964627538183
"59",6.58046368467063
"60",5.72659948873678
"61",5.68346291849171
"62",2.32977627220679
"63",6.05317038493688
"64",6.78641171637129
"65",9.2000648873262
"66",8.8761639345222
"67",5.0111790007599
"68",9.13088252157048
"69",5.20381989059613
"70",7.88316556934248
"71",5.92298819137116
"72",5.44258622454446
"73",6.81388792817247
"74",8.8899739733142
"75",6.33833660044013
"76",7.19959911705957
"77",8.2944598596611
"78",4.90637716797988
"79",6.1111251928949
"80",5.10899249854775
"81",5.12563098320069
"82",6.20699921439677
"83",7.09070058428116
"84",5.60120760161372
"85",9.15476161949289
"86",6.28275679879801
"87",6.08763190024804
"88",8.07016280367322
"89",5.56003318306414
"90",3.06906882138879
"91",9.05004279087237
"92",7.38674213680785
"93",8.34018168595167
"94",6.61297588097645
"95",5.26182238536182
"96",2.57248671785199
"97",6.38815457644773
"98",8.80378790601596
"99",6.13665951166961
"100",6.11946057928146
"101",5.74169448955243
"102",5.37684454567446
"103",7.25251457379871
"104",6.23592941445141
"105",6.81369816076065
"106",5.3410475271556
"107",7.8592198047996
"108",5.54567362041721
"109",5.83780641442852
"110",6.09819231031732
"111",6.58708531747403
"112",8.68833191290335
"113",6.00861982282915
"114",8.42589559077126
"115",6.47547773275502
"116",8.15015496902058
"117",6.82226906967743
"118",5.39705834166122
"119",5.85823504783274
"120",6.55054370120944
"121",8.56744055647151
"122",5.66657777324731
"123",8.13133946958282
"124",8.09137127293273
"125",5.55961128756598
"126",7.36672173420285
"127",6.56077918055619
"128",9.01603016445936
"129",7.63028340596031
"130",6.62738530112017
"131",6.42922694883091
"132",4.51195517506786
"133",6.1888159503928
"134",4.01753251316889
"135",5.63223670827301
"136",7.19971087102384
"137",7.99544253831516
"138",7.15696828604444
"139",5.05117966138672
"140",5.59136807073187
"141",5.74282081566009
"142",4.9164887256376
"143",5.92599460884272
"144",5.43466197188046
