"","N","Loss","Entropy Mean","Entropy Standart Deviation"
"1",32,0.0187484450762127,9.7020805458994,0.142320727327865
"2",48,0.0147317681821094,9.41464575113918,0.145452228846749
"3",64,0.0114857308246828,9.15961024680927,0.173418628114355
"4",80,0.00977886190257353,8.8964283548098,0.29508339149249
"5",96,0.00748254864840646,8.60753085280054,0.949242204150815
"6",112,0.00810100317636246,8.44136521485025,0.487250619108132
"7",128,0.00789920620449467,8.26417383090316,0.57845731481617
"8",144,0.00575938117563457,8.08326738507113,0.609811506658638
"9",160,0.00679544781166398,7.74191014618266,1.03290856150738
"10",176,0.00720510305794346,7.61630219255146,0.909126374387958
"11",192,0.00640999948036813,7.40957196541426,1.0616291563413
"12",208,0.00727314246623895,7.25557194700591,1.10820947996136
"13",224,0.00557367711211834,7.02869623458949,1.23108154060737
"14",240,0.00604935404639542,6.80355612639765,1.32385206282345
"15",256,0.0058388621384854,6.66055669190317,1.37251805586359
"16",272,0.00659593733930459,6.36681841297894,1.58333482947747
"17",288,0.0054884145749982,6.25878209358765,1.52424692367677
"18",304,0.00611677442570165,6.11242930864591,1.56797391811673
"19",320,0.00544096801235302,5.88338539393674,1.60427781440676
"20",336,0.00502375645947973,5.71744531480204,1.53158406127434
"21",352,0.0063900839129131,5.49100599746556,1.58610388947623
"22",368,0.00465978273605705,5.34184711319301,1.63591579628744
"23",384,0.0059630311840448,5.17593339559001,1.56072079215884
