"","x"
"1",11.0763726718372
"2",10.8770318561076
"3",10.8480523890174
"4",10.7461970804409
"5",10.6815062621057
"6",10.5980049491874
"7",10.3983466377512
"8",10.296969107608
"9",10.2778072187117
"10",10.161569976839
"11",10.0793435876692
"12",10.0626077473594
"13",9.93785260711182
"14",9.93429198591914
"15",9.8857158442051
"16",9.83468767506516
"17",9.75376341844218
"18",9.73142415741997
"19",9.68113760505708
"20",9.65791242170772
"21",9.60514448199852
"22",9.56031013501073
"23",9.5233533862396
"24",9.49090746940732
"25",9.47084606699735
"26",9.43227360678421
"27",9.4117581515055
"28",9.37992999738123
"29",9.34488077350444
"30",9.29737591855477
"31",9.25988721613974
"32",9.25081124514375
"33",9.19270242405084
"34",9.17406138672433
"35",9.14990160191913
"36",9.12419342211893
"37",9.07100654691232
"38",9.04724254655473
"39",9.02914925339751
"40",9.02196705906018
"41",9.0002429691718
"42",8.98015988294827
"43",8.93308546222098
"44",8.89596280811408
"45",8.87661419380751
"46",8.85891877379363
"47",8.83439204873253
"48",8.80614824711597
"49",8.78869532676768
"50",8.74803344204864
"51",8.73451278907265
"52",8.72453992194778
"53",8.68680425699411
"54",8.66858568926324
"55",8.65563508916793
"56",8.62562302699688
"57",8.61928799137625
"58",8.5902145407531
"59",8.57739811910434
"60",8.54860567734134
"61",8.54065242390687
"62",8.52936573748723
"63",8.50747569589752
"64",8.47981113598916
"65",8.45619979663979
"66",8.42177864636763
"67",8.41831725124416
"68",8.38581651401256
"69",8.38012826484986
"70",8.36000062602824
"71",8.35769818788329
"72",8.33134831734816
"73",8.32152722479561
"74",8.30478985376635
"75",8.27167320255836
"76",8.26251047858278
"77",8.24064069218633
"78",8.22109262170062
"79",8.18820568671546
"80",8.15917875664151
"81",8.15841415086252
"82",8.15431327703911
"83",8.14990197926756
"84",8.12516176914886
"85",8.1135939712162
"86",8.10726802591729
"87",8.10026460116801
"88",8.07505996306629
"89",8.05106410872003
"90",8.04948105011995
"91",8.01765488431711
"92",8.00644113551503
"93",7.99667271554251
"94",7.97826941568504
"95",7.97104684689888
"96",7.95361604866417
"97",7.93972659208634
"98",7.93584692434117
"99",7.91313880865031
"100",7.91125213294274
"101",7.89632479009299
"102",7.86545243027354
"103",7.86553521962861
"104",7.84372883394019
"105",7.83978866953512
"106",7.83056221579738
"107",7.80360217451327
"108",7.79753207675603
"109",7.787683029898
"110",7.76098542582529
"111",7.73730134751878
"112",7.73282531393547
"113",7.73199352824501
"114",7.71882421710872
"115",7.71313999921365
"116",7.70445155234779
"117",7.68799161841123
"118",7.68018310868787
"119",7.67135975275408
"120",7.65736110203564
"121",7.64512031629268
"122",7.63961620418836
"123",7.63203377209965
"124",7.62524751253616
"125",7.61686495453994
"126",7.59580972933598
"127",7.58431098771996
"128",7.57000281652488
"129",7.56788080633841
"130",7.54532072490593
"131",7.54366435866197
"132",7.53419306749394
"133",7.52680445592965
"134",7.52480153491057
"135",7.51036461429077
"136",7.51305306273297
"137",7.4941239380702
"138",7.48341502457718
"139",7.46058644532889
"140",7.44461116974872
"141",7.44556670373647
"142",7.42349036830053
"143",7.41148270549144
"144",7.40679208250951
"145",7.40809002398179
"146",7.39292953963269
"147",7.38657365413486
"148",7.38219280175725
"149",7.37178986050092
"150",7.36190099162361
"151",7.36114398782815
"152",7.35455366959698
"153",7.34945741262335
"154",7.33589620236272
"155",7.33378252835763
"156",7.32224207347833
"157",7.30782358593297
"158",7.29911316672146
"159",7.29226470247067
"160",7.28533155591642
"161",7.27743586142022
