"","x"
"1",7.0087003322914
"2",4.06930815706283
"3",2.41602971940941
"4",4.11550562311845
"5",8.76272408943503
"6",4.27503525353753
"7",1.43785901220786
"8",5.69090903166919
"9",3.0605991989928
"10",2.74222207741057
"11",3.00331567907596
"12",3.11649354533452
"13",7.18453972187268
"14",3.40655214878845
"15",2.20890103626091
"16",3.68479386855404
"17",8.46282160898528
"18",2.50374755817042
"19",2.74102265013501
"20",3.18083440734535
"21",4.10682347338539
"22",8.0540066617787
"23",8.66131521053911
"24",1.87129446497156
"25",6.61728112516946
"26",9.73533271746419
"27",2.92231304812964
"28",2.77737842267666
"29",8.95085230870861
"30",2.74756382348525
"31",3.43537647699363
"32",1.42522262998775
"33",5.15730531945064
"34",4.75051663330026
"35",2.78985236320527
"36",2.50714701142035
"37",7.39342613754109
"38",5.85402424189444
"39",3.12304034132518
"40",5.68233285038203
"41",4.20005008871654
"42",2.11873118737362
"43",7.9301091191275
"44",3.16192798203544
"45",2.71623871055195
"46",3.40819685187316
"47",1.86587708137713
"48",2.51544520430217
"49",3.19736099596658
"50",3.75671019261011
"51",2.84998243173712
"52",2.84140907093088
"53",4.6762846887442
"54",3.78837008859634
"55",2.51491385568982
"56",9.45570762251105
"57",4.10857937998533
"58",2.68346159115473
"59",2.95674626013342
"60",2.02397411721556
"61",4.69050127870415
"62",3.37912631553868
"63",2.27190427635373
"64",2.5750930682402
"65",5.68899130660346
"66",2.77987101091218
"67",2.46796931659096
"68",1.8404874023064
"69",1.68539911677799
"70",4.65610056172704
"71",1.67409793260853
"72",3.43061289613021
"73",4.64820104554231
"74",5.52676475698701
"75",9.00337999571864
"76",3.86049355950945
"77",7.40039019679534
"78",2.07648096286353
"79",1.58617460277483
"80",3.05427021074627
"81",3.19923474511408
"82",7.51434382134437
"83",3.15296937959888
"84",2.40101917086871
"85",1.88957042201253
"86",8.41843421950625
"87",2.6537440651369
"88",3.50924551018041
"89",6.48163401626832
"90",3.04091334161163
"91",2.99070864647939
"92",2.76704434791008
"93",4.71145346948557
"94",7.9742969408521
"95",6.80436761925207
"96",2.63284727805338
"97",3.89840413046523
"98",2.94580380645201
"99",5.84273886472945
"100",6.00434384546837
"101",2.66512221825743
"102",2.85758041685208
"103",2.38098323008507
"104",3.9158516223656
"105",3.07457039729355
"106",7.58791602810227
"107",2.64747214292156
"108",4.35251991255517
"109",3.8453471164777
"110",3.19569528700515
"111",2.30280800740725
"112",4.58195175815603
"113",3.16091111970212
"114",2.58273877018622
"115",2.86257307459987
"116",2.96147880739037
"117",2.98351483329805
"118",3.95826739135669
"119",2.53884539792249
"120",2.70942089274313
"121",7.30774316659955
"122",8.46634670695549
"123",1.84564356026635
"124",2.11906639192828
"125",2.83140093468242
"126",5.14083548204542
"127",4.51340463793954
"128",3.15468440554926
"129",2.80192113280191
"130",3.42845628730158
"131",2.53972805058683
"132",3.87227992662388
"133",1.74323952352231
"134",3.22116631685073
"135",5.37291582154223
"136",6.8071899859768
