"","x"
"1",7.79011270383782
"2",8.48032628272679
"3",9.08235570061181
"4",8.45494346889152
"5",8.61886562249223
"6",7.76684429601789
"7",8.27559352621684
"8",7.94131440966399
"9",8.09064981193108
"10",8.13315803855577
"11",7.99831507588601
"12",7.88997532388207
"13",7.92828666172341
"14",8.3759988299974
"15",7.94934160611398
"16",7.92031951397971
"17",7.75883177002356
"18",7.82364674842135
"19",7.94703862695864
"20",9.16027888114489
"21",8.52437723661455
"22",7.82606861800126
"23",7.76570754174294
"24",9.11033182426274
"25",7.76253197418337
"26",9.02565409982745
"27",7.88089029237355
"28",8.10238676380478
"29",8.22082618041341
"30",7.81078095178901
"31",7.80536999483705
"32",7.83147754300736
"33",7.93323659046404
"34",7.75220421103077
"35",8.25167565741786
"36",7.99832923151497
"37",7.75622631499771
"38",8.39035767579971
"39",8.14590874519335
"40",7.90054261163518
"41",7.88835060139116
"42",7.76384899622501
"43",9.06055519411753
"44",8.13601578908647
"45",7.93846171660717
"46",7.74849595355801
"47",7.77071949183883
"48",9.0910567007067
"49",7.8484333718325
"50",7.793435957689
"51",7.76600061934205
"52",7.85688119882105
"53",8.25097697667815
"54",9.24942188001075
"55",7.83052769615936
"56",7.8972528657785
"57",8.23695524506232
"58",9.08202112089906
"59",7.93794083001208
"60",7.97793998519352
"61",8.57350624180498
"62",8.1913829454815
"63",8.27428814419032
"64",8.16031339111898
"65",7.86201707511527
"66",8.14612377162967
"67",7.87225924329658
"68",7.81568196960926
"69",8.3148871460314
"70",7.79586062368497
"71",7.9815057501352
"72",8.15885632721058
"73",7.91575222694542
"74",7.80201851127222
"75",7.80519579991794
"76",7.86218493019582
"77",7.82169905358194
"78",8.2843176619018
"79",7.80580912793124
"80",9.15707024092612
"81",7.94265926406476
"82",8.67880060362467
"83",8.93871163343186
"84",8.72346735053168
"85",7.93689362073487
"86",7.93087023607936
"87",7.9568948199093
"88",7.95770885857601
"89",7.86201031953093
"90",7.99210011006434
"91",7.99777830781648
"92",7.85650901380494
"93",9.30037587782042
"94",8.13053341662344
"95",8.67694219927143
"96",7.95081416733455
"97",8.84039823409139
"98",8.49375774118642
"99",7.86199448803311
"100",8.57952773212631
"101",8.55591680931677
"102",7.7294896034291
"103",7.75259685609404
"104",7.90673172463314
"105",7.94673752969885
"106",8.11787259256968
"107",8.40460542360147
"108",8.64985857881552
"109",7.89763052599474
"110",7.91368686084585
"111",8.20588588176586
"112",7.8757726115881
"113",7.9534810389656
"114",7.86848114408795
"115",7.75418038576154
"116",7.88175012629015
"117",7.94417102009236
"118",8.3025090731243
"119",7.79438879729344
"120",7.93744645396965
"121",7.91134917275126
"122",7.84459363664589
"123",8.2414392964953
"124",8.08258722161284
"125",8.28380874109355
"126",7.88142974611081
"127",8.41743864625366
"128",7.90983307246195
"129",7.87344835739548
"130",7.74875073956088
"131",7.73984233894267
