"","x"
"1",8.42932120651725
"2",7.58701916938332
"3",9.37474434337551
"4",7.89116637357584
"5",8.55648470045334
"6",8.29939584214126
"7",8.27988350567311
"8",7.70756667814321
"9",8.83770575623451
"10",8.2782493556765
"11",8.71940131378511
"12",8.52745037865493
"13",7.14649132663861
"14",7.60689578004403
"15",8.05048162659944
"16",9.10411486690046
"17",7.89496185319908
"18",7.93442847148247
"19",7.84950474708217
"20",7.84812011825073
"21",7.46791014861011
"22",7.91557427629213
"23",7.76313109372575
"24",8.42522830083957
"25",7.05592092222011
"26",8.58498575965905
"27",7.31680815149394
"28",9.38926464310659
"29",8.29761826440615
"30",7.79956242992398
"31",8.63474158597694
"32",7.48658698083165
"33",7.91532210923885
"34",8.10089591806279
"35",7.52501710588645
"36",7.53467770218993
"37",7.43482441777673
"38",7.10838888117026
"39",9.17065459592797
"40",7.68102824336911
"41",7.7008028472339
"42",7.26200710461603
"43",8.56020314620588
"44",8.42711584476674
"45",7.70069181462742
"46",7.67978864690955
"47",7.94031374460351
"48",7.61561569896059
"49",7.83311509093733
"50",7.99623897439606
"51",8.24974786827347
"52",7.75822617387963
"53",7.79014253952184
"54",7.63078876969643
"55",7.76543331129667
"56",9.48907874715127
"57",7.50161321945667
"58",7.81106562964432
"59",8.86644775740563
"60",7.59400123778362
"61",7.48673008795637
"62",8.24808595686991
"63",7.59375077619417
"64",8.92957043880783
"65",7.63765413217329
"66",7.72022063483918
"67",8.44128100776421
"68",8.12234750694257
"69",8.27667268921899
"70",7.99057230971703
"71",8.16449632165391
"72",7.47557457494271
"73",8.15972496919267
"74",7.98434479032344
"75",8.14577340216791
"76",7.80080233441469
"77",7.64154418897373
"78",7.82596681399211
"79",8.07815986245644
"80",8.37803452890111
"81",7.79189247205748
"82",8.30381620141759
"83",7.57042364929276
"84",7.98454093646736
"85",8.33536976298632
"86",7.79333311904142
"87",9.14121074135198
"88",7.8413636372251
"89",7.63006004270554
"90",7.89463955602304
"91",7.3986018607727
"92",7.89708749367474
"93",8.22480135320095
"94",9.18029600806091
"95",7.93852962367118
"96",8.05160155425529
"97",7.89507500340719
"98",8.23562214402024
"99",7.45969615042274
"100",7.83350893933927
"101",8.36071395746739
"102",7.76549195634449
"103",8.33814841769481
"104",7.87984883241874
"105",7.96952999064071
"106",8.33928067274601
"107",9.20615999224796
"108",8.09662303000872
"109",8.17172847480665
"110",7.65639678739777
"111",8.2685287104342
"112",7.66863020871712
"113",8.60393392427739
"114",8.83867924499224
"115",8.39518618118353
"116",8.32353171972435
"117",7.76227230655271
"118",8.04771716519601
"119",7.93575977713268
"120",9.90928365585898
"121",7.95238389577322
"122",8.66804476266191
"123",8.31616982924531
"124",7.79183206929615
"125",9.3906088811463
"126",7.70240050910227
"127",8.55500959232062
"128",9.21543072331561
"129",8.91327424678089
"130",8.61722081091434
"131",8.04436153514229
"132",7.84986628108854
"133",7.75135603330639
"134",7.6234193958436
"135",8.87810589129113
"136",7.93668265134518
"137",7.52968353557178
"138",8.47619571592556
"139",8.00124812969127
"140",8.14178144938135
"141",8.30974626436535
"142",7.59561106156835
"143",8.89521222465892
"144",7.48729999098131
"145",8.86408851196095
"146",7.47429745173128
"147",7.6278885625951
"148",7.72227869761965
"149",7.81220034406748
"150",8.515664091027
"151",7.68404998361002
"152",7.79873734871436
"153",7.88719677538708
"154",8.09386867515842
"155",7.51182232887933
"156",7.57395441544419
"157",8.21438248623267
"158",8.18877223005751
"159",7.64083021461909
"160",7.50557032247611
"161",8.0114263021498
"162",7.34043022302519
"163",8.00553331175162
"164",7.41224422506338
"165",9.43226238770526
"166",8.26128777789279
"167",7.70331914804612
"168",8.28805876782237
"169",8.34144636143715
"170",8.94424221193703
"171",7.50318718622889
"172",8.70855732852675
"173",7.50143739941267
"174",8.50713333484865
"175",8.65000454664295
"176",8.22178056612575
"177",8.84177420637721
"178",9.14039354501694
"179",7.61652396699078
"180",8.1790686007201
"181",7.90399264682946
"182",7.77778996509961
"183",7.79855942905127
"184",7.78085189587648
"185",8.87376718783387
"186",8.46202539011543
"187",7.48468549305343
"188",7.37284278003825
"189",8.30516329027993
"190",9.23683670458747
"191",8.51862055183342
"192",7.22768195343956
"193",8.04379480662234
"194",8.21577297430432
"195",8.02641007238311
"196",8.00981868397276
"197",7.17703463521072
