"","x"
"1",6.44211599813674
"2",7.40907585778144
"3",5.20560690978549
"4",4.97377483684517
"5",6.25488847126033
"6",6.11526518135224
"7",5.8322209688019
"8",5.48245471543484
"9",5.09833616211473
"10",7.58026888535486
"11",6.29593673734724
"12",4.86757208534313
"13",7.51618743379907
"14",6.75450315689333
"15",7.47595089767467
"16",3.80856149399534
"17",6.60842028430056
"18",5.30985459209223
"19",4.62244688945274
"20",5.10444080720734
"21",4.37187093414781
"22",7.14402223508165
"23",6.70075614436061
"24",5.03760712646476
"25",4.88873659069743
"26",3.59619563077259
"27",6.92236900809778
"28",3.55933479457961
"29",5.30162833494343
"30",6.15534195048301
"31",4.70069437452027
"32",3.71218693787066
"33",7.93263025261579
"34",7.98084418398254
"35",8.84076529270451
"36",3.94622114802127
"37",6.95566191523206
"38",7.49403482292072
"39",4.63481210433866
"40",6.39556909374828
"41",5.74106488863774
"42",5.43284363083551
"43",5.80641184989576
"44",3.82529878920495
"45",8.65174862664058
"46",5.88395158516787
"47",2.77301458064344
"48",4.30492597055734
"49",3.79584187078839
"50",6.19763467062539
"51",5.37641880593024
"52",5.33766454014464
"53",5.61663859950031
"54",7.800141237299
"55",6.21589039711341
"56",4.68368530994137
"57",8.24556787980318
"58",5.15967797433648
"59",2.58117432565132
"60",9.07374028791294
"61",5.94492490734834
"62",6.32517120739623
"63",7.74872876938504
"64",5.20111343256113
"65",4.81401456693666
"66",6.73321973995762
"67",8.42923369814508
"68",4.63818337174032
"69",8.2882367765581
"70",3.56591538806149
"71",8.79579125971867
"72",2.73796186774428
"73",5.62024868361857
"74",6.92403727462939
"75",7.55879124538989
"76",3.44851441913495
"77",7.12878848955785
"78",5.08938492675924
"79",5.53088797272488
"80",6.07853713296522
"81",6.23745848073062
"82",7.2307992613002
"83",6.39125549195069
"84",7.42903113513949
"85",4.94610600933346
"86",8.00548692322024
"87",7.31570593723097
"88",2.40388125755131
"89",2.40984750691445
"90",6.36642062908122
"91",6.12153845281703
"92",7.97278870857185
"93",5.33958777896702
"94",7.07523127361371
"95",9.28029693157943
"96",8.64337874516043
"97",9.28964558699898
"98",3.10564030415901
"99",8.11817942323805
"100",3.06447187283426
"101",6.71896465985926
"102",7.92738830894975
"103",3.48726668488049
"104",9.20210150530513
"105",7.81790481193839
"106",8.20709514971185
"107",6.55030390137678
"108",9.2794229114062
"109",8.04897440048786
"110",6.99022783198804
"111",6.64547142944003
"112",3.2919742009657
"113",3.99099940825703
"114",7.48550291559147
"115",4.67253538818717
"116",5.53482566571464
"117",2.94178158640673
"118",6.9717844230588
"119",3.10172751038993
"120",5.49661928319552
"121",6.93398402240526
"122",3.56579378856712
"123",6.90419509783921
"124",4.26115884607153
"125",4.88162721662029
"126",7.28510149593754
"127",8.28112237175364
"128",5.76769777838127
"129",8.61511031808483
"130",6.05505492508877
"131",781.794655739772
"132",1.7400838529749
